品番,img_file_Name,名前,存在チェック,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感
CA125304,CA125304.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾛｰｽﾞｽﾃｯﾌﾟ2ﾌﾞﾗ25A1,○,NY,店舗・EC,"12,000",25AW,2025年8月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA125305,CA125305.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨﾊﾞｯｸｽﾑｰｽﾞｽﾃｯﾌﾟ1ﾌﾞﾗ25A1,○,NY,店舗・EC,"10,000",25AW,2025年9月,通年,1,あり,一般,見せない,日中,5,自然,強
CA125306,CA125306.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ25A1,×,NY,店舗・EC,"12,000",25AW,2025年9月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA125307,CA125307.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾐﾆﾏｲｻﾞｰﾌﾞﾗ25A1,×,NY,店舗・EC,"12,000",25AW,2025年9月,通年,なし,あり,グラマー,見せない,日中,4,自然,弱
CA125308,CA125308.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ25A2,×,NY,店舗・EC,"11,000",25AW,2025年9月,通年,1,あり,一般,見せない,日中,5,自然,強
CA125309,CA125309.jpg,ﾌﾞﾗﾃﾞﾘｽ ｴﾘﾝﾌﾞﾗ25A1,×,NY,店舗・EC,"11,000",25AW,2025年10月,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,強
CA125310,CA125310.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ25A2,×,NY,店舗・EC,"13,000",25AW,2025年10月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA125312,CA125312.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｽﾃｯﾌﾟ1ﾌﾞﾗ25A1,×,NY,店舗・EC,"12,000",25AW,2025年10月,通年,1,あり,一般,見せない,日中,5,自然,中
CA125313,CA125313.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ25A2,×,NY,店舗・EC,"15,000",25AW,2025年11月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA125314,CA125314.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｸﾘｰﾝｽﾃｯﾌﾟ3ﾌﾞﾗ25A1,×,NY,店舗・EC,"15,000",25AW,2025年11月,通年,3,あり,一般,見せない,日中,5,高さ/自然,中
