品番,名前,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,商品ランク,売上規模,Rep,cluster,medoid_score,tsne_x,tsne_y,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
ME126101,ﾌﾞﾗﾃﾞﾘｽ Dreamy Night Bra,Me,店舗・EC,"6,000",2026SS,2026年2月,通年,0,なし,プチ,見せない,就寝,2,自然,弱,B,.,0,0,2,0.49474868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME126103,ﾌﾞﾗﾃﾞﾘｽ Lovely Back Bra26S1,Me,店舗・EC,"6,300",2026SS,2026年3月,夏,0,なし,プチ~一般,見せる,日中,2,自然,中,B,.,0,2,1.4142135623730951,0.030284852,0.2063669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME126104,ﾌﾞﾗﾃﾞﾘｽ Lacy Cool Bra26S1,Me,店舗・EC,"6,000",2026SS,2026年3月,夏,0,なし,一般~グラマー,見せる,日中,2,自然,弱,B,.,0,2,1.4142135623730951,0.14510691,0.16733623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME518306,BRADELISHUGME Bra Camisole,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,.,0,7,0,0.9181758,0.6077446,92,82,79,89,53,74,133,131,120,121,0,0,974,253,84
ME522301,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗｷｬﾐ,Me,店舗・EC,"5,800",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,.,0,5,1.4142135623730951,1,0.12886515,454,482,608,393,350,375,306,330,373,344,286,330,4631,"1,544",514
ME524301,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗｷｬﾐ24A1,Me,店舗・EC,"6,300",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,中,C,.,0,5,1.4142135623730951,0.7507367,0,139,113,104,70,70,90,191,200,262,194,155,82,1670,356,118
ME524302,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗｷｬﾐ24A1,Me,店舗・EC,"6,000",2024AW,2024年9月,通年,0,なし,一般,見せない,日中,4,高さ/自然,強,C,.,0,6,1.860786712665806,0.604472,0.22146875,248,266,178,170,127,233,10,1,22,33,0,0,1288,692,230
ME525101,ﾌﾞﾗﾃﾞﾘｽ ｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,Me,店舗・EC,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,弱,A,◎,1,2,0,0.13712484,0.3123393,0,0,0,0,0,639,"1,067","1,203",783,484,867,280,5323,"2,909",969
ME525301,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗｷｬﾐ,Me,店舗・EC,"6,000",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,.,0,7,1.4142135623730951,0.5428693,0.024802685,0,0,0,0,0,0,0,0,0,224,177,138,539,539,179
ME525303,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾟﾗｽﾌﾞﾗｷｬﾐ25A1,Me,店舗・EC,"6,300",2025AW,2025年10月,通年,0,なし,一般,見せない,日中,4,高さ/自然,中,B,.,0,6,1.860786712665806,0.604472,0.22146875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
