ブランド名,チャネル,品番,名前,写真,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン,シーン,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
PEACE,テレビ・EC,DB525204,綿混楽々dailyﾌﾞﾗｷｬﾐ25,画像,"5,500",通年QVC,2025年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱,B,,0,1.984947181,0.53395003,0.3601628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB525207,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗｷｬﾐ25,-,"8,000",通年QVC,2025年8月,通年,0,なし,一般~グラマー,見せない,日中,3,自然,中,B,,9,1.592757188,0.4406451,0.9358008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB525301,ｼｬｲﾆｰﾍﾞﾛｱﾌﾞﾗｷｬﾐ25,-,"6,000",通年QVC,2025年10月,通年,0,なし,一般,見せる,日中,2,自然,弱,B,,5,1.878742653,0.32498884,0.53398454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB525404,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗｷｬﾐ25,画像,"7,300",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,,0,0.863756439,0.49814177,0.7189223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB525406,綿混ｷｬｯﾁｬｰｶｯﾌﾟﾚｰｽﾌﾞﾗｷｬﾐ25,-,"6,800",通年QVC,2025年12月,通年,0,なし,一般~グラマー,見せない,日中,4,自然,中,C,,9,0,0.5189298,0.9299983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,店舗・EC,ME06601,新オールインワンライト,-,"5,400",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,,4,0,0.8879534,0.9044672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,店舗・EC,ME08503,シルク混ナイトブラ,-,"5,400",定番,通年,通年,0,なし,一般,見せない,就寝,2,自然,弱,A,,6,2.029623618,0.4240337,0.26262563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,店舗・EC,ME09502,新オールインワンライトブラキャミ,-,"6,000",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,,4,0.518253864,0.85305846,0.9701692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,EC,ME118307,BRADELISHUGME Bralette,画像,"4,700",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,◎,1,1.538043186,0.75595737,0.5463456,1,169,183,125,174,236,192,165,150,358,311,0,0,2063,477,159
Me,店舗・EC,ME122105,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗ,画像,"5,200",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ,強,A,◎,4,2.007446888,1,0.8124772,1,"2,229","2,246","2,218","1,930","1,731","2,158","1,733","1,815","1,694","1,883","1,799","1,431",22867,"6,693","2,231"
Me,店舗・EC,ME123102,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗ23S1,画像,"5,200",定番,通年,夏,0,なし,一般,見せない,日中,5,高さ,強,A,◎,4,2.737219428,0.76311606,1,1,"1,057",945,948,809,729,"1,037",961,"1,193","1,287","1,357","1,140","1,019",12482,"2,950",983
