品番,名前,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep
ME126103,ﾌﾞﾗﾃﾞﾘｽ Lovely Back Bra26S1,Me,店舗・EC,"6,300",2026SS,2026年3月,夏,0,なし,プチ~一般,見せる,日中,2,自然,中,B,.,8,1.414213562,0.041401505,0.4560601,0
ME126104,ﾌﾞﾗﾃﾞﾘｽ Lacy Cool Bra26S1,Me,店舗・EC,"6,000",2026SS,2026年3月,夏,0,なし,一般~グラマー,見せる,日中,2,自然,弱,B,.,8,1.437757548,0.07395804,0.61867344,0
ME518306,BRADELISHUGME Bra Camisole,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,.,1,0,0.7486353,0.66465133,0
ME522301,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗｷｬﾐ,Me,店舗・EC,"5,800",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,.,4,1.455806316,0.9618423,0.8899535,0
ME524301,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗｷｬﾐ24A1,Me,店舗・EC,"6,300",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,中,C,.,4,1.613790848,0.7954618,0.8934133,0
ME524302,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗｷｬﾐ24A1,Me,店舗・EC,"6,000",2024AW,2024年9月,通年,0,なし,一般,見せない,日中,4,高さ/自然,強,C,.,1,1.93160924,0.8603884,0.72659236,0
ME525101,ﾌﾞﾗﾃﾞﾘｽ ｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,Me,店舗・EC,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,弱,A,◎,8,0.604629508,0.11681461,0.5119815,1
ME525301,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗｷｬﾐ,Me,店舗・EC,"6,000",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,.,1,1.506182946,0.77499896,0.76769906,0
ME525303,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾟﾗｽﾌﾞﾗｷｬﾐ25A1,Me,店舗・EC,"6,300",2025AW,2025年10月,通年,0,なし,一般,見せない,日中,4,高さ/自然,中,B,.,1,2.016642777,0.8959746,0.6769952,0
ME525304,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾛｱﾌﾞﾗｷｬﾐ,Me,店舗・EC,"6,500",2025AW,2025年9月,冬,0,なし,一般,見せる,日中,2,自然,弱,B,.,8,1.42472559,0,0.5539913,0
ME525305,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,Me,店舗・EC,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,弱,A,◎,8,0.604629508,0.11681461,0.5119815,1
ME526101,ﾌﾞﾗﾃﾞﾘｽ Lacy Tube Top,Me,店舗・EC,"6,300",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,2,自然,中,B,.,8,0,0.06089604,0.5389688,0
MG02503,リブブラタンクトップ,MAGIC,EC,"5,400",定番,2026年2月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,.,2,0.172751288,0.124518454,0.31462306,0
MG07501,Newイージーナイト,MAGIC,EC,"5,000",定番,2026年3月予定,通年,0,なし,プチ~一般,見せない,就寝,1,自然,弱,A,.,2,3.119473394,0.28878677,0.11007726,0
MG07502,ひんやりブラキャミ,MAGIC,EC,"5,400",定番,2026年4月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,.,2,0.172751288,0.124518454,0.31462306,0
MG07504,ミニマイザー,MAGIC,EC,"6,300",定番,2026年3月予定,通年,0,なし,グラマー,見せない,日中,2,自然,弱,A,.,2,2.523009481,0.32142383,0.27464902,0
MG07505,Aラインブラトップ,MAGIC,EC,"5,600",定番,2026年3月予定,夏,0,なし,一般,見せる,日中,2,自然,弱,A,.,2,0,0.14265418,0.3944353,0
MG122201,ｼｰﾑﾚｽﾊｰﾄｶｯﾌﾟﾌﾞﾗ,MAGIC,EC,"4,800",定番,2022年,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,中,A,◎,1,2.503714654,0.7864593,0.44069612,1
MG124301,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰﾅｲﾄﾌﾞﾗ,MAGIC,EC,"6,300",定番,2024年9月,通年,0,なし,プチ~一般,見せない,all,2,自然,弱,A,〇,2,2.892330694,0.32716757,0.1805507,0
MG125201,ﾌﾛｰﾗﾙﾌｨｯﾄﾉﾝﾜｲﾔｰﾌﾞﾗ,MAGIC,EC,"6,300",2025SS,2025年7月,通年,0,なし,一般,見せない,日中,3,高さ/自然,中,A,.,1,2.569887332,0.719939,0.40025556,0
MG125301,ﾌﾞﾗﾃﾞﾘｽ ｼｰﾑﾚｽｽｷﾝﾌﾞﾗ,MAGIC,EC,"6,800",定番,2025年10月予定,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,中,A,.,1,2.731722417,0.7678711,0.36590493,0
MG523101,軽やかﾌｨｰﾙ快適ﾌﾞﾗｷｬﾐ,MAGIC,EC,"5,400",定番,2023年7月,通年,0,なし,一般,見せる,日中,2,自然,弱,A,◎,2,1.42472559,0.19301474,0.25883508,1
MG525401,やわらかブラタンクトップ,MAGIC,EC,"5,600",定番,2025年12月予定,通年,0,なし,一般,見せない,日中,2,自然,弱,A,.,2,2,0.26371634,0.25556374,0
MG525402,やわらかウォームブラインナー,MAGIC,EC,"6,300",定番,2025年12月予定,冬,0,なし,一般,見せない,日中,2,自然,弱,A,.,2,2.089396286,0.27297628,0.35891664,0
MG525403,ベロアタッチリブブラタンクトップ,MAGIC,EC,"5,800",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,弱,A,.,2,1.42472559,0.20439363,0.3549497,0
MG525404,ベロアタッチリブブラワンピース,MAGIC,EC,"7,000",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,弱,A,.,2,1.860727644,0.22461843,0.43469805,0
