品番,店舗展開,写真,名前,cluster,medoid_score,tsne_x,tsne_y,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,Shop_初速3か月（月割）,Shop_初速3か月（平均）,EC_初速3か月（月割）,EC_初速3か月（平均）,Shop&EC_初速3か月（月割）,Sho&EC_初速3か月（平均）,top10
DB525204,,DB525204.jpg,綿混楽々dailyﾌﾞﾗｷｬﾐ25,0,0.0,0.33760297,0.02692163,PEACE,テレビ・EC,"5,500",通年QVC,2025年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,,,1966.0,983.0,0.0,0.0,1
DB525207,,DB525207.jpg,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗｷｬﾐ25,4,0.024317112,0.43164533,0.53106105,PEACE,テレビ・EC,"8,000",通年QVC,2025年8月,通年,0,なし,一般~グラマー,見せない,日中,3,自然,,,22.0,22.0,0.0,0.0,0
DB525301,,DB525301.jpg,ｼｬｲﾆｰﾍﾞﾛｱﾌﾞﾗｷｬﾐ25,2,0.008171625,1.0,0.22981375,PEACE,テレビ・EC,"6,000",通年QVC,2025年10月,通年,0,なし,一般,見せる,日中,2,自然,,,0.0,0.0,0.0,0.0,0
DB525404,,DB525404.jpg,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗｷｬﾐ25,3,0.009490874,0.087068975,0.8425774,PEACE,テレビ・EC,"7,300",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,,,224.0,74.0,0.0,0.0,0
DB525406,,DB525406.jpg,綿混ｷｬｯﾁｬｰｶｯﾌﾟﾚｰｽﾌﾞﾗｷｬﾐ25,4,0.013129992,0.45628148,0.62242556,PEACE,テレビ・EC,"6,800",通年QVC,2025年12月,通年,0,なし,一般~グラマー,見せない,日中,4,自然,,,0.0,0.0,0.0,0.0,0
ME06601,1.0,ME06601.jpg,新オールインワンライト,1,0.008544509,0.9775686,0.8746873,Me,店舗・EC,"5,400",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,0.0,0.0,0.0,0.0,0.0,0.0,0
ME08503,1.0,ME08503.jpg,シルク混ナイトブラ,4,0.039832516,0.47270977,0.4498399,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,一般,見せない,就寝,2,自然,0.0,0.0,0.0,0.0,0.0,0.0,0
ME09502,1.0,ME09502.jpg,新オールインワンライトブラキャミ,1,0.008544509,0.9775686,0.8746873,Me,店舗・EC,"6,000",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,0.0,0.0,0.0,0.0,0.0,0.0,0
ME118307,,ME118307.jpg,BRADELISHUGME Bralette,4,0.00684549,0.5305296,0.7166961,Me,EC,"4,700",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,,,8742.0,2914.0,9219.0,3073.0,1
ME122105,1.0,ME122105.jpg,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗ,1,0.008598044,0.8713982,1.0,Me,店舗・EC,"5,200",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ,6693.0,2231.0,6059.0,2019.0,12752.0,4250.0,1
