品番,シーズン,ステップ,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y
DB525207,通年,0,一般~グラマー,見せない,日中,3,自然,5,1.2093499038878768,0.5046241,0.63215363
DB525301,通年,0,一般,見せる,日中,2,自然,0,1.4142135623730951,0.2898136,0.38364705
DB525404,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
DB525406,通年,0,一般~グラマー,見せない,日中,4,自然,2,1.860786712665806,0.8368658,0.34685043
ME06601,夏,0,一般~グラマー,見せない,all,4,高さ/自然,1,0.0,0.88737744,0.04336548
ME08503,通年,0,一般,見せない,就寝,2,自然,5,2.0,0.4212656,0.9542247
ME09502,夏,0,一般~グラマー,見せない,all,4,高さ/自然,1,0.0,0.88737744,0.04336548
ME118307,通年,0,プチ~一般,見せない,日中,3,高さ/自然,4,1.4142135623730951,0.9181758,0.6077446
ME122105,通年,0,一般~グラマー,見せない,all,4,高さ,1,2.0,0.95018816,0.22024933
ME123102,夏,0,一般,見せない,日中,5,高さ,2,3.1384882921773767,0.71446794,0.12894738
ME123103,通年,0,一般~グラマー,見せない,all,4,高さ/自然,1,1.4142135623730951,1.0,0.12886515
ME124103,夏,0,一般~グラマー,見せない,all,4,高さ/自然,1,0.0,0.88737744,0.04336548
ME124301,夏,0,一般~グラマー,見せない,日中,4,高さ/自然,1,1.4142135623730951,0.7507367,0.0
ME124302,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
ME124303,通年,0,プチ~一般,見せない,日中,3,高さ/自然,4,1.4142135623730951,0.9181758,0.6077446
ME124304,通年,0,一般~グラマー,見せない,all,2,自然,5,1.4142135623730951,0.4574266,0.80192536
ME125101,通年,0,一般~グラマー,見せない,日中,4,高さ,2,2.3372049952953673,0.85240173,0.24377033
ME125102,通年,0,プチ~一般,見せない,日中,3,高さ/自然,4,1.4142135623730951,0.9181758,0.6077446
ME125301,夏,0,プチ~一般,見せない,日中,3,高さ/自然,1,2.3372049952953673,0.5428693,0.024802685
ME125302,通年,0,一般,見せない,就寝,3,高さ/自然,2,2.0,0.9081366,0.7987006
ME125303,通年,0,一般~グラマー,見せない,all,2,自然,5,1.4142135623730951,0.4574266,0.80192536
ME126101,通年,0,プチ,見せない,就寝,2,自然,5,2.0,0.49474868,1.0
ME126103,夏,0,プチ~一般,見せる,日中,2,自然,0,1.4142135623730951,0.030284852,0.2063669
ME126104,夏,0,一般~グラマー,見せる,日中,2,自然,0,1.4142135623730951,0.14510691,0.16733623
ME518306,通年,0,プチ~一般,見せない,日中,3,高さ/自然,4,1.4142135623730951,0.9181758,0.6077446
ME522301,通年,0,一般~グラマー,見せない,all,4,高さ/自然,1,1.4142135623730951,1.0,0.12886515
ME524301,夏,0,一般~グラマー,見せない,日中,4,高さ/自然,1,1.4142135623730951,0.7507367,0.0
ME524302,通年,0,一般,見せない,日中,4,高さ/自然,2,1.860786712665806,0.604472,0.22146875
ME525101,夏,0,一般,見せる,日中,2,自然,0,0.0,0.13712484,0.3123393
ME525301,夏,0,プチ~一般,見せない,日中,3,高さ/自然,1,2.3372049952953673,0.5428693,0.024802685
ME525303,通年,0,一般,見せない,日中,4,高さ/自然,2,1.860786712665806,0.604472,0.22146875
ME525304,冬,0,一般,見せる,日中,2,自然,0,1.4142135623730951,0.16258231,0.8956158
ME525305,夏,0,一般,見せる,日中,2,自然,0,0.0,0.13712484,0.3123393
ME526101,夏,0,一般,見せる,日中,2,自然,0,0.0,0.13712484,0.3123393
MG02503,夏,0,一般,見せる,日中,2,自然,0,0.0,0.13712484,0.3123393
MG07501,通年,0,プチ~一般,見せない,就寝,1,自然,5,2.337204995295367,0.6158507,0.97359824
MG07502,夏,0,一般,見せる,日中,2,自然,0,0.0,0.13712484,0.3123393
MG07504,通年,0,グラマー,見せない,日中,2,自然,5,1.4142135623730951,0.330402,0.8081778
MG07505,夏,0,一般,見せる,日中,2,自然,0,0.0,0.13712484,0.3123393
MG122201,通年,0,一般~グラマー,見せない,日中,3,高さ/自然,1,2.3372049952953673,0.84047484,0.47234726
MG124301,通年,0,プチ~一般,見せない,all,2,自然,5,2.0,0.5511818,0.87249184
MG125201,通年,0,一般,見せない,日中,3,高さ/自然,2,1.4142135623730951,0.5149452,0.29669082
MG125301,通年,0,一般~グラマー,見せない,日中,3,高さ/自然,1,2.3372049952953673,0.84047484,0.47234726
MG523101,通年,0,一般,見せる,日中,2,自然,0,1.4142135623730951,0.2898136,0.38364705
MG525401,通年,0,一般,見せない,日中,2,自然,2,1.2093499038878768,0.40357244,0.5434912
MG525402,冬,0,一般,見せない,日中,2,自然,2,1.860786712665806,0.30211622,0.52561414
MG525403,冬,0,一般,見せる,日中,2,自然,0,1.4142135623730951,0.16258231,0.8956158
MG525404,冬,0,一般,見せる,日中,2,自然,0,1.4142135623730951,0.16258231,0.8956158
YH09501,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH124201,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH124301,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH125201,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH125401,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH524101,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH524301,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH525101,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH525301,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
YH525401,通年,なし,一般~グラマー,見せない,日中,2,自然,3,0.0,0.13629964,0.6621652
