品番,ブランド名,チャネル,シーズン,ステップ,タイプ,シーン1,シーン2,補整力,シルエット,上代数値,cluster,medoid_score,tsne_x,tsne_y
ME525303,Me,店舗・EC,通年,0,一般,見せない,日中,4,高さ/自然,6300,1,2.0166427772747135,0.8959746,0.6769952
ME525304,Me,店舗・EC,冬,0,一般,見せる,日中,2,自然,6500,8,1.4247255902319438,0.0,0.5539913
ME525305,Me,店舗・EC,夏,0,一般,見せる,日中,2,自然,5600,8,0.6046295075553031,0.11681461,0.5119815
ME126101,Me,店舗・EC,通年,0,プチ,見せない,就寝,2,自然,6000,6,2.178548871736417,0.42436504,0.32933933
ME126104,Me,店舗・EC,夏,0,一般~グラマー,見せる,日中,2,自然,6000,8,1.43775754798539,0.07395804,0.61867344
ME126103,Me,店舗・EC,夏,0,プチ~一般,見せる,日中,2,自然,6300,8,1.4142135623730938,0.041401505,0.4560601
ME06601,Me,店舗・EC,夏,0,一般~グラマー,見せない,all,4,高さ/自然,5400,4,0.0,0.8879534,0.9044672
ME09502,Me,店舗・EC,夏,0,一般~グラマー,見せない,all,4,高さ/自然,6000,4,0.5182538636188323,0.85305846,0.9701692
ME526101,Me,店舗・EC,夏,0,一般,見せる,日中,2,自然,6300,8,0.0,0.06089604,0.5389688
ME08503,Me,店舗・EC,通年,0,一般,見せない,就寝,2,自然,5400,6,2.029623617779179,0.4240337,0.26262563
MG122201,MAGIC,EC,通年,0,一般~グラマー,見せない,日中,3,高さ/自然,4800,1,2.503714653700746,0.7864593,0.44069612
MG124301,MAGIC,EC,通年,0,プチ~一般,見せない,all,2,自然,6300,2,2.892330693645968,0.32716757,0.1805507
MG125201,MAGIC,EC,通年,0,一般,見せない,日中,3,高さ/自然,6300,1,2.569887332374836,0.719939,0.40025556
MG125301,MAGIC,EC,通年,0,一般~グラマー,見せない,日中,3,高さ/自然,6800,1,2.731722417381801,0.7678711,0.36590493
MG07501,MAGIC,EC,通年,0,プチ~一般,見せない,就寝,1,自然,5000,2,3.1194733942108663,0.28878677,0.11007726
MG07504,MAGIC,EC,通年,0,グラマー,見せない,日中,2,自然,6300,2,2.5230094810377874,0.32142383,0.27464902
MG523101,MAGIC,EC,通年,0,一般,見せる,日中,2,自然,5400,2,1.4247255902319431,0.19301474,0.25883508
MG525401,MAGIC,EC,通年,0,一般,見せない,日中,2,自然,5600,2,2.0,0.26371634,0.25556374
MG525402,MAGIC,EC,冬,0,一般,見せない,日中,2,自然,6300,2,2.08939628634842,0.27297628,0.35891664
MG525403,MAGIC,EC,冬,0,一般,見せる,日中,2,自然,5800,2,1.4247255902319431,0.20439363,0.3549497
MG525404,MAGIC,EC,冬,0,一般,見せる,日中,2,自然,7000,2,1.8607276441291105,0.22461843,0.43469805
MG07502,MAGIC,EC,夏,0,一般,見せる,日中,2,自然,5400,2,0.1727512878729384,0.124518454,0.31462306
MG02503,MAGIC,EC,夏,0,一般,見せる,日中,2,自然,5400,2,0.1727512878729384,0.124518454,0.31462306
MG07505,MAGIC,EC,夏,0,一般,見せる,日中,2,自然,5600,2,0.0,0.14265418,0.3944353
