品番,AA598017,BC730662,BY520328,FT814555,GN888179,HQ186018,II067440,IL590822,JS348244,KY124041,LI971013,NO407338,OA139405,PA751345,RJ664372,SJ372019,TZ848437,VK309827,VP052641,WE759046,WW135442,YH305068,YI881281,ZW286556
LI971013,3.4183119012929915e-06,1.5315041470202857e-05,2.5888981758839437e-05,1.0973580195895156e-06,1.4797715517661338e-05,1.6885381830647753e-05,0.0003530710061842,2.2047934466656728e-05,2.5356232394999555e-05,0.0017235666877557,0.0,3.52591149320889e-05,4.789805454057338e-06,0.0003081099317503,2.024700853471375e-06,2.5582455392098895e-05,3.4212149756874264e-05,4.9381755613339016e-05,7.846279351177274e-06,8.987933071423959e-05,8.620988795044755e-06,2.8732864271446025e-05,2.467694223199083e-05,1.0934881058037395e-05
NO407338,1.2986175637878196e-05,0.0003482035939996,1.235561112017421e-05,3.0784727098674382e-06,5.490425645749469e-07,0.0001143295742654,8.276246098846915e-06,1.0953699372467186e-05,2.3805034674914812e-05,4.0519693060680375e-05,3.52591149320889e-05,0.0,3.412911607873972e-07,1.862233694545808e-05,6.713298384597732e-05,3.101190918057856e-06,5.292178952908815e-06,7.596126872155558e-06,3.3332716173766503e-06,0.0016679681712109,4.760703450253418e-05,2.542489030900571e-05,2.949834829000562e-06,1.2339803628258902e-06
OA139405,4.268690459521915e-05,1.7097483573146643e-05,2.530296318272058e-06,1.644615656836584e-05,0.0016371129574974,6.0520334262336275e-06,5.100577205024352e-06,1.8502223834962212e-06,2.475727707657084e-07,3.1099920909608058e-06,4.789805454057338e-06,3.412911607873972e-07,0.0,8.936410232267143e-06,3.6117767336938433e-07,6.789034396511064e-06,9.075106532000896e-06,4.463780423936855e-06,9.674239023809793e-06,9.087799384266488e-07,7.140457081076673e-07,1.8814331345807898e-05,1.7877860206524147e-05,0.0001223398881647
PA751345,5.027017701330973e-07,1.462398778247656e-05,0.001661064134567,2.5180579694755604e-07,6.639015795937282e-05,4.977242199251584e-06,4.35887305751689e-05,1.1357917465108254e-05,7.678732472591022e-05,5.47257863610036e-05,0.0003081099317503,1.862233694545808e-05,8.936410232267143e-06,0.0,1.8227257526800624e-06,4.801312670961482e-07,7.02758360327048e-06,4.650044793052179e-07,5.7862558850316536e-06,7.070667437610934e-06,2.052926465914877e-06,0.0004602835510422,1.0077736241527347e-05,5.722648574033683e-06
RJ664372,8.722083309642632e-06,7.998901884815131e-05,3.364817517713256e-05,0.0002270462067767,2.7927504444287453e-07,3.3948423207684777e-06,5.84566939782114e-06,4.126146094620876e-05,3.6734559997133826e-05,2.200083962375254e-05,2.024700853471375e-06,6.713298384597732e-05,3.6117767336938433e-07,1.8227257526800624e-06,0.0,2.2886717046791807e-06,7.545062117868409e-06,6.664879493669884e-06,2.827519419066487e-05,3.305217466331988e-05,0.0015612529421277,2.1369376868094117e-05,1.914270610843764e-06,7.01773905015862e-05
SJ372019,1.6995426896716496e-05,4.52197925347774e-06,3.185200109180505e-07,1.4598854724987064e-05,2.519379997790997e-05,1.8432838634751357e-05,4.163732544410695e-06,3.964552683871436e-05,7.77048432248617e-06,5.412567004886132e-05,2.5582455392098895e-05,3.101190918057856e-06,6.789034396511064e-06,4.801312670961482e-07,2.2886717046791807e-06,0.0,1.4592320855639263e-05,0.0020094266061647,4.121513482849139e-05,6.908922145485794e-05,1.3276718941132784e-05,7.53206402213277e-06,1.1604137611685496e-05,3.592412659663589e-05
TZ848437,4.532725203851072e-06,6.309617305918368e-07,3.3362715440831306e-06,0.0015722694695505,2.772504954767904e-06,7.31673814646292e-07,8.493276522453328e-06,1.9622235618034235e-05,2.5083088163480738e-06,1.349242628815031e-05,3.4212149756874264e-05,5.292178952908815e-06,9.075106532000896e-06,7.02758360327048e-06,7.545062117868409e-06,1.4592320855639263e-05,0.0,5.096834556553651e-05,5.906293211608486e-05,1.5295067773583944e-05,1.5428052974623798e-05,1.6131399097801875e-06,6.175031836355193e-05,4.691805467271553e-06
VK309827,0.0002744536846795,6.664401237517766e-07,1.651102395076628e-07,0.0001257194609299,7.930131254899289e-06,5.647755517012358e-06,2.175471211171637e-06,3.116822592149967e-05,4.902910357984577e-06,0.0002717130628261,4.9381755613339016e-05,7.596126872155558e-06,4.463780423936855e-06,4.650044793052179e-07,6.664879493669884e-06,0.0020094266061647,5.096834556553651e-05,0.0,2.8860305225039685e-05,3.778722628531558e-05,1.873551495835124e-05,8.986651277076428e-07,9.266325610860364e-06,7.997165132493791e-05
VP052641,1.206711347570545e-05,8.366628716013307e-06,4.457591706822087e-06,0.0002689396362067,4.892931386787502e-06,1.0130997745488102e-05,1.0117133787637705e-05,0.0020185774655005,2.3352351530315483e-05,2.383320276946069e-06,7.846279351177274e-06,3.3332716173766503e-06,9.674239023809793e-06,5.7862558850316536e-06,2.827519419066487e-05,4.121513482849139e-05,5.906293211608486e-05,2.8860305225039685e-05,0.0,1.4972286899384502e-05,0.0003228474841204,3.9729168088857945e-06,1.3008156722118596e-05,1.206067208364092e-05
WE759046,4.680437023604807e-05,0.0002437843004556,1.919814108915176e-05,2.774703918571431e-06,2.8182813218696416e-06,0.0004438051830953,7.354795903837471e-05,1.8252767460672965e-05,3.812685829890946e-06,1.5876470730343406e-05,8.987933071423959e-05,0.0016679681712109,9.087799384266488e-07,7.070667437610934e-06,3.305217466331988e-05,6.908922145485794e-05,1.5295067773583944e-05,3.778722628531558e-05,1.4972286899384502e-05,0.0,0.000128471132504,5.264508965046587e-06,1.5292799475268456e-05,9.339732123192906e-06
